"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Requests al backend del Ecommerce","1","0","Consultar estado de la base de datos","0"
"0","","0","Requests al backend del Ecommerce","1","0","Autenticarme como un cliente","0"
"1","","0","Requests al backend del Ecommerce","0","0","Actualizar la especialidad de un médico específico","0"
"0","","1","Requests al backend del Ecommerce","0","0","Listar todos los médicos activos","0"
"0","","0","Requests al backend del Ecommerce","1","0","Registrar un cliente nuevo exitosamente","0"
"0","","0","Requests al backend del Ecommerce","1","0","Crear un carrito","0"
"0","","1","Requests al backend del Ecommerce","0","0","Desactivar un médico haciendo un borrado lógico","0"
"0","","1","Requests al backend del Ecommerce","0","0","Comprobar el estado de los componentes","0"
"0","","1","Requests al backend del Ecommerce","0","0","Validar integracion de la tasa de cambio","0"
"0","","0","Requests al backend del Ecommerce","1","0","Obtener los datos propios de un cliente autenticado","0"
"0","","1","Requests al backend del Ecommerce","0","0","Consultar el estado de los códigos de descuento de doctores","0"
"0","","1","Requests al backend del Ecommerce","0","0","Comprobar el estado de una comanda registrada","0"
"0","","1","Requests al backend del Ecommerce","0","0","Registrar un nuevo medico exitosamente","0"
